"代號","名稱","成交","漲跌價","漲跌幅","資券日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","244","-7.5","-2.98","11/04","2,893","6,486","146","-3,739","52,467","1.5","0.38","301","422","0","+121","3,810","0.11","0.03","32","0.03","7.26"
="2330","台積電","1505","-5","-0.33","11/04","558","858","26","-326","16,320","0.25","0.06","4","5","0","+1","374","0.01","0","6","0.02","2.29"
="2308","台達電","975","-8","-0.81","11/04","1,502","512","5","+985","7,473","1.15","0.29","36","40","0","+4","885","0.14","0.03","6","0.03","11.8"
="2454","聯發科","1315","+15","+1.15","11/04","85","183","6","-104","6,174","1.54","0.38","22","4","0","-18","164","0.04","0.01","0","0","2.66"
="3231","緯創","139","-4.5","-3.14","11/04","1,523","4,518","11","-3,006","56,822","7.15","1.79","85","101","0","+16","1,707","0.21","0.05","14","0.03","3"
="3491","昇達科","420.5","-10","-2.32","11/04","133","58","1","+74","4,266","25.5","6.44","5","6","17","-16","229","1.36","0.35","0","0","5.37"
="6669","緯穎","4300","-15","-0.35","11/04","33","66","0","-33","1,465","3.15","0.79","1","0","0","-1","115","0.25","0.06","3","0.32","7.85"
="3008","大立光","2215","-30","-1.34","11/04","17","8","1","+8","820","2.46","0.61","0","0","0","0","9","0.03","0.01","0","0","1.1"
="3443","創意","1635","+55","+3.48","11/04","1,022","878","1","+143","4,188","12.5","3.13","5","45","1","+39","159","0.47","0.12","7","0.08","3.8"
="3661","世芯-KY","3445","-5","-0.14","11/04","223","245","0","-22","5,194","26.4","6.42","5","2","0","-3","75","0.38","0.09","0","0","1.44"
="2301","光寶科","170","-10","-5.56","11/04","2,004","2,464","2","-462","25,072","4.33","1.08","88","88","0","0","467","0.08","0.02","15","0.04","1.86"
="4967","十銓","126.5","-14","-9.96","11/04","1,380","2,314","2","-936","6,570","30.9","7.73","154","247","0","+93","1,023","4.82","1.2","8","0.05","15.6"
="2344","華邦電","53.3","-3.3","-5.83","11/04","3,837","8,915","2","-5,080","116,131","10.3","2.58","5,698","31","5","-5,672","26,749","2.38","0.59","1,117","2.72","23"
="3711","日月光投控","239","-7","-2.85","11/04","1,077","1,411","2","-336","5,659","0.51","0.13","142","23","0","-119","1,059","0.1","0.02","1","0","18.7"
="2408","南亞科","131.5","-5.5","-4.01","11/04","11,672","14,206","2","-2,536","117,704","15.2","3.8","1,515","1,146","3","-372","18,974","2.45","0.61","253","0.17","16.1"
="2882","國泰金","64.6","+0.7","+1.1","11/04","51","101","0","-50","6,094","0.17","0.04","2","6","0","+4","467","0.01","0","0","0","7.66"
="2891","中信金","42.4","+0.35","+0.83","11/04","58","113","0","-55","5,286","0.11","0.03","11","2","0","-9","131","0","0","0","0","2.48"
="2884","玉山金","30.3","+0.15","+0.5","11/04","592","1,213","181","-802","16,336","0.4","0.1","20","26","0","+6","85","0","0","0","0","0.52"
="2880","華南金","29.6","+0.2","+0.68","11/04","1","23","0","-22","441","0.01","0","0","0","0","0","46","0","0","0","0","10.4"
="0050","元大台灣50","63.95","-0.2","-0.31","11/04","425","587","11","-173","8,034","0.23","0.06","10","33","0","+23","1,833","0.05","0.01","2","0","22.8"
="00878","國泰永續高股息","21.57","-0.12","-0.55","11/04","219","56","3","+160","5,067","0.1","0.02","1","7","0","+6","34","0","0","2","0","0.67"
="006208","富邦台50","149.75","-0.45","-0.3","11/04","31","23","0","+8","343","0.07","0.02","2","0","0","-2","12","0","0","1","0.02","3.5"
